 "ContributorID" , "name" , "chapter" , "ChapterRole" , "article" , "ArticleRole" ,
 "http://data.globalchange.gov/person/3438" , "Ebi, Kristie L." , "http://data.globalchange.gov/report/nca3/chapter/human-health" , "Contributing Author" , "http://data.globalchange.gov/article/10.1289/ehp.8430" , "Author" ,
 "http://data.globalchange.gov/person/823" , "Robertson, G. Philip" , "http://data.globalchange.gov/report/nca3/chapter/midwest" , "Lead Author" , "http://data.globalchange.gov/article/10.1021/es903385g" , "Author" ,
 "http://data.globalchange.gov/person/824" , "Patz, Jonathan" , "http://data.globalchange.gov/report/nca3/chapter/midwest" , "Lead Author" , "http://data.globalchange.gov/article/10.1289/ehp.1103440" , "Author" ,
 "http://data.globalchange.gov/person/829" , "Galloway, James" , "http://data.globalchange.gov/report/nca3/chapter/biogeochemical-cycles" , "Convening Lead Author" , "http://data.globalchange.gov/article/10.1890/08-1140.1" , "Author" ,
 "http://data.globalchange.gov/person/839" , "Brown, Daniel G." , "http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change" , "Convening Lead Author" , "http://data.globalchange.gov/article/10.1111/j.1365-2486.2009.02002.x" , "Author" ,
 "http://data.globalchange.gov/person/839" , "Brown, Daniel G." , "http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change" , "Convening Lead Author" , "http://data.globalchange.gov/book/ddaadc62-d4cb-4fe2-84ac-eadf2ce7d522" , "Editor" ,
 "http://data.globalchange.gov/person/844" , "Knowlton, Kim" , "http://data.globalchange.gov/report/nca3/chapter/human-health" , "Convening Lead Author" , "http://data.globalchange.gov/article/10.1289/ehp.11594" , "Author" ,
 "http://data.globalchange.gov/person/860" , "Kunreuther, Howard" , "http://data.globalchange.gov/report/nca3/chapter/decision-support" , "Lead Author" , "http://data.globalchange.gov/article/10.2307/3325045" , "Author" ,
 "http://data.globalchange.gov/person/860" , "Kunreuther, Howard" , "http://data.globalchange.gov/report/nca3/chapter/decision-support" , "Lead Author" , "http://data.globalchange.gov/report/nber-12821-2007" , "Author" ,
 "http://data.globalchange.gov/person/866" , "Averyt, Kristen" , "http://data.globalchange.gov/report/nca3/chapter/water-energy-land-use" , "Lead Author" , "http://data.globalchange.gov/report/ucusa-freshwater-2011" , "Author" ,
 "http://data.globalchange.gov/person/868" , "Berry, Leonard" , "http://data.globalchange.gov/report/nca3/chapter/southeast" , "Lead Author" , "http://data.globalchange.gov/report/flclimchtaskforce-watermanagement-2011" , "Contributing Author" ,
 "http://data.globalchange.gov/person/883" , "Burkett, Virginia" , "http://data.globalchange.gov/report/nca3/chapter/southeast" , "Lead Author" , "http://data.globalchange.gov/article/10.1016/j.enpol.2011.09.016" , "Author" ,
 "http://data.globalchange.gov/person/885" , "Chapin III, F. Stuart" , "http://data.globalchange.gov/report/nca3/chapter/alaska" , "Convening Lead Author" , "http://data.globalchange.gov/report/usgs-alaska-technicalregionreport-circular1379" , "Editor" ,
 "http://data.globalchange.gov/person/894" , "Trainor, Sarah F." , "http://data.globalchange.gov/report/nca3/chapter/alaska" , "Convening Lead Author" , "http://data.globalchange.gov/report/usgs-alaska-technicalregionreport-circular1379" , "Editor" ,
 "http://data.globalchange.gov/person/896" , "Moser, Susanne" , "http://data.globalchange.gov/report/nca3/chapter/coastal-zone" , "Convening Lead Author" , "http://data.globalchange.gov/article/10.1023/A:1009609710795" , "Author" ,
 "http://data.globalchange.gov/person/902" , "Sohngen, Brent" , "http://data.globalchange.gov/report/nca3/chapter/forests" , "Lead Author" , "http://data.globalchange.gov/article/10.1016/j.ecolecon.2010.11.005" , "Author" ,
 "http://data.globalchange.gov/person/902" , "Sohngen, Brent" , "http://data.globalchange.gov/report/nca3/chapter/forests" , "Lead Author" , "http://data.globalchange.gov/article/10.1021/es2030142" , "Author" ,
 "http://data.globalchange.gov/person/918" , "Littell, Jeremy" , "http://data.globalchange.gov/report/nca3/chapter/northwest" , "Lead Author" , "http://data.globalchange.gov/report/uwash-waclimch-2009" , "Editor" ,
 "http://data.globalchange.gov/person/927" , "Ruth, Matthias" , "http://data.globalchange.gov/report/nca3/chapter/urban-systems-infrastructure-vulnerability" , "Lead Author" , "http://data.globalchange.gov/article/10.1007/s10584-007-9252-5" , "Author" ,
 "http://data.globalchange.gov/person/927" , "Ruth, Matthias" , "http://data.globalchange.gov/report/nca3/chapter/urban-systems-infrastructure-vulnerability" , "Lead Author" , "http://data.globalchange.gov/article/10.1007/s11027-011-9340-8" , "Author" ,
 "http://data.globalchange.gov/person/949" , "Loveland, Thomas R." , "http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change" , "Lead Author" , "http://data.globalchange.gov/report/nca-lulcti-2012" , "Author" ,
 "http://data.globalchange.gov/person/949" , "Loveland, Thomas R." , "http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change" , "Lead Author" , "http://data.globalchange.gov/report/nca-techreportlu-2012" , "Author" ,
 "http://data.globalchange.gov/person/950" , "Wilbanks, Thomas J." , "http://data.globalchange.gov/report/nca3/chapter/urban-systems-infrastructure-vulnerability" , "Lead Author" , "http://data.globalchange.gov/report/ccsp-sap-4_6-2008" , "Author" ,
 "http://data.globalchange.gov/person/951" , "Dale, Virginia H." , "http://data.globalchange.gov/report/nca3/chapter/forests" , "Lead Author" , "http://data.globalchange.gov/article/10.1007/s00267-012-9907-5" , "Author" ,
 "http://data.globalchange.gov/person/951" , "Dale, Virginia H." , "http://data.globalchange.gov/report/nca3/chapter/forests" , "Lead Author" , "http://data.globalchange.gov/article/10.1641/0006-3568(2001)051%5B0723:ccafd%5D2.0.co;2" , "Author" ,
 "http://data.globalchange.gov/person/955" , "Hatfield, Jerry" , "http://data.globalchange.gov/report/nca3/chapter/agriculture" , "Convening Lead Author" , "http://data.globalchange.gov/report/ccsp-sap-4_3-2008" , "Contributing Author" ,
 "http://data.globalchange.gov/person/957" , "McGuire, A. David" , "http://data.globalchange.gov/report/nca3/chapter/alaska" , "Lead Author" , "http://data.globalchange.gov/article/10.1111/j.1365-2486.2008.01679.x" , "Author" ,
 "http://data.globalchange.gov/person/957" , "McGuire, A. David" , "http://data.globalchange.gov/report/nca3/chapter/alaska" , "Lead Author" , "http://data.globalchange.gov/article/10.1139/X10-098" , "Author" ,
 "http://data.globalchange.gov/person/960" , "Markon, Carl" , "http://data.globalchange.gov/report/nca3/chapter/alaska" , "Lead Author" , "http://data.globalchange.gov/report/usgs-alaska-technicalregionreport-circular1379" , "Editor" ,
 "http://data.globalchange.gov/person/986" , "Richels, Rich" , "http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use" , "Lead Author" , "http://data.globalchange.gov/report/ccsp-sap-2_1a-2007" , "Author" ,
 "http://data.globalchange.gov/person/999" , "Ruckelshaus, Mary" , "http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources" , "Lead Author" , "http://data.globalchange.gov/article/10.1146/annurev-marine-041911-111611" , "Author" ,
