"Chapter_Title","findingNumber","chapterNumber","figureOfChapter","Finding_Text","Finding_ID"
"Our Changing Climate","2.11",2,11,"Rising temperatures are reducing ice volume and surface extent on land, lakes, and sea. This loss of ice is expected to continue. The Arctic Ocean is expected to become essentially ice free in summer before mid-century.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/ice-loss-by-rising-temperatures"
"Our Changing Climate","2.12",2,12,"The oceans are currently absorbing about a quarter of the carbon dioxide emitted to the atmosphere annually and are becoming more acidic as a result, leading to concerns about intensifying impacts on marine ecosystems.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/co2-into-ocean-increases-acidity"
"Water Resources","3.1",3,1,"Annual precipitation and river-flow increases are observed now in the Midwest and the Northeast regions. Very heavy precipitation events have increased nationally and are projected to increase in all regions. The length of dry spells is projected to increase in most areas, especially the southern and northwestern portions of the contiguous United States.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/precipitation-runoff-variances"
"Water Resources","3.2",3,2,"Short-term (seasonal or shorter) droughts are expected to intensify in most U.S. regions. Longer-term droughts are expected to intensify in large areas of the Southwest, southern Great Plains, and Southeast.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/summer-droughts-intensify"
"Water Resources","3.3",3,3,"Flooding may intensify in many U.S. regions, even in areas where total precipitation is projected to decline.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/floods-projected-to-intensify"
"Water Resources","3.4",3,4,"Climate change is expected to affect water demand, groundwater withdrawals, and aquifer recharge, reducing groundwater availability in some areas.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/groundwater-availability-changes"
"Water Resources","3.5",3,5,"Sea level rise, storms and storm surges, and changes in surface and groundwater use patterns are expected to compromise the sustainability of coastal freshwater aquifers and wetlands.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/sustainability-of-coastal-freshwater"
"Water Resources","3.6",3,6,"Increasing air and water temperatures, more intense precipitation and runoff, and intensifying droughts can decrease river and lake water quality in many ways, including increases in sediment, nitrogen, and other pollutant loads.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/effects-on-water-quality"
"Water Resources","3.7",3,7,"Climate change affects water demand and the ways water is used within and across regions and economic sectors. The Southwest, Great Plains, and Southeast are particularly vulnerable to changes in water supply and demand.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/water-supply-demand-changes"
"Water Resources","3.8",3,8,"Changes in precipitation and runoff, combined with changes in consumption and withdrawal, have reduced surface and groundwater supplies in many areas. These trends are expected to continue, increasing the likelihood of water shortages for many uses.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/surface-groundwater-reduction"
"Water Resources","3.9",3,9,"Increasing flooding risk affects human safety and health, property, infrastructure, economies, and ecology in many basins across the U.S.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/effects-of-increasing-flooding-risks"
"Water Resources","3.10",3,10,"In most U.S. regions, water resources managers and planners will encounter new risks, vulnerabilities, and opportunities that may not be properly managed within existing practices.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/water-resource-planning-challenges"
"Water Resources","3.11",3,11,"Increasing resilience and enhancing adaptive capacity provide opportunities to strengthen water resources management and plan for climate change impacts. Many institutional, scientific, economic, and political barriers present challenges to implementing adaptive strategies.","http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/increasing-resilience-and-enhancing-adaptive-capacity"
"Energy Supply and Use","4.1",4,1,"Extreme weather events are affecting energy production and delivery facilities, causing supply disruptions of varying lengths and magnitudes and affecting other infrastructure that depends on energy supply. The frequency and intensity of certain types of extreme weather events are expected to change.","http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use/finding/weather-affects-energy-production"
"Energy Supply and Use","4.2",4,2,"Higher summer temperatures will increase electricity use, causing higher summer peak loads, while warmer winters will decrease energy demands for heating. Net electricity use is projected to increase.","http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use/finding/net-energy-use-projected-to-increase"
"Energy Supply and Use","4.3",4,3,"Changes in water availability, both episodic and long-lasting, will constrain different forms of energy production.","http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use/finding/available-water-constrains-energy"
"Energy Supply and Use","4.4",4,4,"In the longer term, sea level rise, extreme storm surge events, and high tides will affect coastal facilities and infrastructure on which many energy systems, markets, and consumers depend.","http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use/finding/sea-level-rise-affects-energy"
"Energy Supply and Use","4.5",4,5,"As new investments in energy technologies occur, future energy systems will differ from today’s in uncertain ways. Depending on the character of changes in the energy mix, climate change will introduce new risks as well as opportunities.","http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use/finding/future-energy-systems"
"Transportation","5.1",5,1,"The impacts from sea level rise and storm surge, extreme weather events, higher temperatures and heat waves, precipitation changes, Arctic warming, and other climatic conditions are affecting the reliability and capacity of the U.S. transportation system in many ways.","http://data.globalchange.gov/report/nca3/chapter/transportation/finding/climate-change-affects-us-transport"
"Transportation","5.2",5,2,"Sea level rise, coupled with storm surge, will continue to increase the risk of major coastal impacts on transportation infrastructure, including both temporary and permanent flooding of airports, ports and harbors, roads, rail lines, tunnels, and bridges.","http://data.globalchange.gov/report/nca3/chapter/transportation/finding/increased-risk-major-coastal-impacts"
"Transportation","5.3",5,3,"Extreme weather events currently disrupt transportation networks in all areas of the country; projections indicate that such disruptions will increase.","http://data.globalchange.gov/report/nca3/chapter/transportation/finding/transport-disruptions-increase"
"Transportation","5.4",5,4,"Climate change impacts will increase the total costs to the nation’s transportation systems and their users, but these impacts can be reduced through rerouting, mode change, and a wide range of adaptive actions.","http://data.globalchange.gov/report/nca3/chapter/transportation/finding/adapting-to-increased-transport-cost"
"Agriculture","6.1",6,1,"Climate disruptions to agricultural production have increased in the past 40 years and are projected to increase over the next 25 years. By mid-century and beyond, these impacts will be increasingly negative on most crops and livestock.","http://data.globalchange.gov/report/nca3/chapter/agriculture/finding/agriculture-disrupted-by-climate"
"Agriculture","6.2",6,2,"Many agricultural regions will experience declines in crop and livestock production from increased stress due to weeds, diseases, insect pests, and other climate change induced stresses.","http://data.globalchange.gov/report/nca3/chapter/agriculture/finding/stress-lowers-agriculture-production"
"Agriculture","6.3",6,3,"Current loss and degradation of critical agricultural soil and water assets due to increasing extremes in precipitation will continue to challenge both rainfed and irrigated agriculture unless innovative conservation methods are implemented.","http://data.globalchange.gov/report/nca3/chapter/agriculture/finding/soil-and-water-loss-test-agriculture"
"Agriculture","6.4",6,4,"The rising incidence of weather extremes will have increasingly negative impacts on crop and livestock productivity because critical thresholds are already being exceeded.","http://data.globalchange.gov/report/nca3/chapter/agriculture/finding/extreme-weather-impact-productivity"
"Agriculture","6.5",6,5,"Agriculture has been able to adapt to recent changes in climate; however, increased innovation will be needed to ensure the rate of adaptation of agriculture and the associated socioeconomic system can keep pace with climate change over the next 25 years.","http://data.globalchange.gov/report/nca3/chapter/agriculture/finding/innovation-critical-to-adapt-to-climate"
"Agriculture","6.6",6,6,"Climate change effects on agriculture will have consequences for food security, both in the U.S. and globally, through changes in crop yields and food prices and effects on food processing, storage, transportation, and retailing. Adaptation measures can help delay and reduce some of these impacts.","http://data.globalchange.gov/report/nca3/chapter/agriculture/finding/climate-effects-on-food-security"
"Forests","7.1",7,1,"Climate change is increasing the vulnerability of many forests to ecosystem changes and tree mortality through fire, insect infestations, drought, and disease outbreaks.","http://data.globalchange.gov/report/nca3/chapter/forests/finding/increased-forest-vulnerability"
"Forests","7.2",7,2,"U.S. forests and associated wood products currently absorb and store the equivalent of about 16% of all carbon dioxide (CO₂ ) emitted by fossil fuel burning in the U.S. each year. Climate change, combined with current societal trends in land use and forest management, is projected to reduce this rate of forest CO₂ uptake.","http://data.globalchange.gov/report/nca3/chapter/forests/finding/reduced-forest-co2-uptake"
"Forests","7.3",7,3,"Bioenergy could emerge as a new market for wood and could aid in the restoration of forests killed by drought, insects, and fire.","http://data.globalchange.gov/report/nca3/chapter/forests/finding/bioenergy-benefits-consequences"
"Forests","7.4",7,4,"Forest management responses to climate change will be influenced by the changing nature of private forestland ownership, globalization of forestry markets, emerging markets for bioenergy, and U.S. climate change policy.","http://data.globalchange.gov/report/nca3/chapter/forests/finding/influences-on-forest-management"
"Ecosystems, Biodiversity, and Ecosystem Services","8.1",8,1,"Climate change impacts on ecosystems reduce their ability to improve water quality and regulate water flows.","http://data.globalchange.gov/report/nca3/chapter/ecosystems/finding/fall-of-water-benefits-from-ecosystem"
"Ecosystems, Biodiversity, and Ecosystem Services","8.2",8,2,"Climate change, combined with other stressors, is overwhelming the capacity of ecosystems to buffer the impacts from extreme events like fires, floods, and storms.","http://data.globalchange.gov/report/nca3/chapter/ecosystems/finding/ecosystem-buffers-overwhelmed"
"Ecosystems, Biodiversity, and Ecosystem Services","8.3",8,3,"Landscapes and seascapes are changing rapidly, and species, including many iconic species, may disappear from regions where they have been prevalent or become extinct, altering some regions so much that their mix of plant and animal life will become almost unrecognizable.","http://data.globalchange.gov/report/nca3/chapter/ecosystems/finding/animal-and-plant-mix-changing"
"Ecosystems, Biodiversity, and Ecosystem Services","8.4",8,4,"Timing of critical biological events, such as spring bud burst, emergence from overwintering, and the start of migrations, has shifted, leading to important impacts on species and habitats.","http://data.globalchange.gov/report/nca3/chapter/ecosystems/finding/critical-biological-events-shift"
"Ecosystems, Biodiversity, and Ecosystem Services","8.5",8,5,"Whole system management is often more effective than focusing on one species at a time, and can help reduce the harm to wildlife, natural assets, and human well-being that climate disruption might cause.","http://data.globalchange.gov/report/nca3/chapter/ecosystems/finding/ecosystem-whole-system-management"
"Human Health","9.1",9,1,"Climate change threatens human health and well-being in many ways, including impacts from increased extreme weather events, wildfire, decreased air quality, threats to mental health, and illnesses transmitted by food, water, and diseases-carriers such as mosquitoes and ticks. Some of these health impacts are already underway in the United States.","http://data.globalchange.gov/report/nca3/chapter/human-health/finding/climate-change-threatens-health"
"Human Health","9.2",9,2,"Climate change will, absent other changes, amplify some of the existing health threats the nation now faces. Certain people and communities are especially vulnerable, including children, the elderly, the sick, the poor, and some communities of color.","http://data.globalchange.gov/report/nca3/chapter/human-health/finding/existing-health-threats-amplified"
"Human Health","9.3",9,3,"Public health actions, especially preparedness and prevention, can do much to protect people from some of the impacts of climate change. Early action provides the largest health benefits. As threats increase, our ability to adapt to future changes may be limited.","http://data.globalchange.gov/report/nca3/chapter/human-health/finding/early-public-health-actions-beneficial"
"Human Health","9.4",9,4,"Responding to climate change provides opportunities to improve human health and well-being across many sectors, including energy, agriculture, and transportation. Many of these strategies offer a variety of benefits, protecting people while combating climate change and providing other societal benefits.","http://data.globalchange.gov/report/nca3/chapter/human-health/finding/opportunities-to-improve-human-health"
"Energy, Water, and Land Use","10.1",10,1,"Energy, water, and land systems interact in many ways. Climate change affects the individual sectors and their interactions; the combination of these factors affects climate change vulnerability as well as adaptation and mitigation options for different regions of the country.","http://data.globalchange.gov/report/nca3/chapter/water-energy-land-use/finding/energy-land-water-interactions"
"Energy, Water, and Land Use","10.2",10,2,"The dependence of energy systems on land and water supplies will influence the development of these systems and options for reducing greenhouse gas emissions, as well as their climate change vulnerability.","http://data.globalchange.gov/report/nca3/chapter/water-energy-land-use/finding/energy-dependence-on-land-water"
"Energy, Water, and Land Use","10.3",10,3,"Jointly considering risks, vulnerabilities, and opportunities associated with energy, water, and land use is challenging, but can improve the identification and evaluation of options for reducing climate change impacts.","http://data.globalchange.gov/report/nca3/chapter/water-energy-land-use/finding/joint-energy-water-land-consideration"
"Urban Systems, Infrastructure, and Vulnerability","11.1",11,1,"Climate change and its impacts threaten the well-being of urban residents in all U.S. regions. Essential infrastructure systems such as water, energy supply, and transportation will increasingly be compromised by interrelated climate change impacts. The nation’s economy, security, and culture all depend on the resilience of urban infrastructure systems.","http://data.globalchange.gov/report/nca3/chapter/urban-systems-infrastructure-vulnerability/finding/climate-impacts-urban-residents"
"Urban Systems, Infrastructure, and Vulnerability","11.2",11,2,"In urban settings, climate-related disruptions of services in one infrastructure system will almost always result in disruptions in one or more other infrastructure systems.","http://data.globalchange.gov/report/nca3/chapter/urban-systems-infrastructure-vulnerability/finding/infrastructure-service-disruptions"
"Urban Systems, Infrastructure, and Vulnerability","11.3",11,3,"Climate vulnerability and adaptive capacity of urban residents and communities are influenced by pronounced social inequalities that reflect age, ethnicity, gender, income, health, and (dis)ability differences.","http://data.globalchange.gov/report/nca3/chapter/urban-systems-infrastructure-vulnerability/finding/urban-vulnerability-adaptive-capacity"
"Urban Systems, Infrastructure, and Vulnerability","11.4",11,4,"City government agencies and organizations have started adaptation plans that focus on infrastructure systems and public health. To be successful, these adaptation efforts require cooperative private sector and governmental activities, but institutions face many barriers to implementing coordinated efforts.","http://data.globalchange.gov/report/nca3/chapter/urban-systems-infrastructure-vulnerability/finding/urban-adaptation-plans"
"Indigenous Peoples, Lands, and Resources","12.1",12,1,"Observed and future impacts from climate change threaten Native Peoples’ access to traditional foods such as fish, game, and wild and cultivated crops, which have provided sustenance as well as cultural, economic, medicinal, and community health for generations.","http://data.globalchange.gov/report/nca3/chapter/tribal-indigenous-native-lands-resources/finding/food-access-impacts-native-health"
"Indigenous Peoples, Lands, and Resources","12.2",12,2,"A significant decrease in water quality and quantity due to a variety of factors, including climate change, is affecting drinking water, food, and cultures. Native communities’ vulnerabilities and limited capacity to adapt to water-related challenges are exacerbated by historical and contemporary government policies and poor socioeconomic conditions.","http://data.globalchange.gov/report/nca3/chapter/tribal-indigenous-native-lands-resources/finding/native-life-affected-by-water-change"
"Indigenous Peoples, Lands, and Resources","12.3",12,3,"Declining sea ice in Alaska is causing significant impacts to Native communities, including increasingly risky travel and hunting conditions, damage and loss to settlements, food insecurity, and socioeconomic and health impacts from loss of cultures, traditional knowledge, and homelands.","http://data.globalchange.gov/report/nca3/chapter/tribal-indigenous-native-lands-resources/finding/declining-alaskan-ice-affects-natives"
"Indigenous Peoples, Lands, and Resources","12.4",12,4,"Alaska Native communities are increasingly exposed to health and livelihood hazards from increasing temperatures and thawing permafrost, which are damaging critical infrastructure, adding to other stressors on traditional lifestyles.","http://data.globalchange.gov/report/nca3/chapter/tribal-indigenous-native-lands-resources/finding/increased-health-hazards-for-natives"
"Indigenous Peoples, Lands, and Resources","12.5",12,5,"Climate change related impacts are forcing relocation of tribal and indigenous communities, especially in coastal locations. These relocations, and the lack of governance mechanisms or funding to support them, are causing loss of community and culture, health impacts, and economic decline, further exacerbating tribal impoverishment.","http://data.globalchange.gov/report/nca3/chapter/tribal-indigenous-native-lands-resources/finding/forced-native-relocation-negatives"
"Land Use and Land Cover Change","13.1",13,1,"Choices about land-use and land-cover patterns have affected and will continue to affect how vulnerable or resilient human communities and ecosystems are to the effects of climate change.","http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change/finding/land-use-choices-affect-resiliency"
"Land Use and Land Cover Change","13.2",13,2,"Land-use and land-cover changes affect local, regional, and global climate processes.","http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change/finding/land-use-climate-processes"
"Land Use and Land Cover Change","13.3",13,3,"Individuals, businesses, non-profits, and governments have the capacity to make land-use decisions to adapt to the effects of climate change.","http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change/finding/adaptable-land-use-decisions"
"Land Use and Land Cover Change","13.4",13,4,"Choices about land use and land management may provide a means of reducing atmospheric greenhouse gas levels.","http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change/finding/land-use-reduces-greenhouse-gas"
"Rural Communities","14.1",14,1,"Rural communities are highly dependent upon natural resources for their livelihoods and social structures. Climate change related impacts are currently affecting rural communities. These impacts will progressively increase over this century and will shift the locations where rural economic activities (like agriculture, forestry, and recreation) can thrive.","http://data.globalchange.gov/report/nca3/chapter/rural/finding/climate-change-shifts-rural-economy"
"Rural Communities","14.2",14,2,"Rural communities face particular geographic and demographic obstacles in responding to and preparing for climate change risks. In particular, physical isolation, limited economic diversity, and higher poverty rates, combined with an aging population, increase the vulnerability of rural communities. Systems of fundamental importance to rural populations are already stressed by remoteness and limited access.","http://data.globalchange.gov/report/nca3/chapter/rural/finding/increased-rural-climate-change-risks"
"Rural Communities","14.3",14,3,"Responding to additional challenges from climate change impacts will require significant adaptation within rural transportation and infrastructure systems, as well as health and emergency response systems. Governments in rural communities have limited institutional capacity to respond to, plan for, and anticipate climate change impacts.","http://data.globalchange.gov/report/nca3/chapter/rural/finding/limited-rural-capacity-for-climate-adaptation"
"Biogeochemical Cycles","15.1",15,1,"Human activities have increased atmospheric carbon dioxide by about 40% over pre-industrial levels and more than doubled the amount of nitrogen available to ecosystems. Similar trends have been observed for phosphorus and other elements, and these changes have major consequences for biogeochemical cycles and climate change.","http://data.globalchange.gov/report/nca3/chapter/biogeochemical-cycles/finding/human-increased-element-levels"
"Biogeochemical Cycles","15.2",15,2,"In total, land in the United States absorbs and stores an amount of carbon equivalent to about 17% of annual U.S. fossil fuel emissions. U.S. forests and associated wood products account for most of this land sink. The effect of this carbon storage is to partially offset warming from emissions of CO₂ and other greenhouse gases.","http://data.globalchange.gov/report/nca3/chapter/biogeochemical-cycles/finding/partial-offset-warming-effect-of-carbon-storage"
"Biogeochemical Cycles","15.3",15,3,"Altered biogeochemical cycles together with climate change increase the vulnerability of biodiversity, food security, human health, and water quality to changing climate. However, natural and managed shifts in major biogeochemical cycles can help limit rates of climate change.","http://data.globalchange.gov/report/nca3/chapter/biogeochemical-cycles/finding/biogeochem-cycle-climate-change"
"Northeast","16.1",16,1,"Heat waves, coastal flooding, and river flooding will pose a growing challenge to the region’s environmental, social, and economic systems. This will increase the vulnerability of the region’s residents, especially its most disadvantaged populations. ","http://data.globalchange.gov/report/nca3/chapter/northeast/finding/heat-and-flooding-growing-challenge"
"Northeast","16.2",16,2,"Infrastructure will be increasingly compromised by climate-related hazards, including sea level rise, coastal flooding, and intense precipitation events.","http://data.globalchange.gov/report/nca3/chapter/northeast/finding/climate-compromises-infrastructure"
"Northeast","16.3",16,3,"Agriculture, fisheries, and ecosystems will be increasingly compromised over the next century by climate change impacts. Farmers can explore new crop options, but these adaptations are not cost- or risk-free. Moreover, adaptive capacity, which varies throughout the region, could be overwhelmed by a changing climate.","http://data.globalchange.gov/report/nca3/chapter/northeast/finding/compromised-agriculture-fisheries-to-adaptation"
"Northeast","16.4",16,4,"While a majority of states and a rapidly growing number of municipalities have begun to incorporate the risk of climate change into their planning activities, implementation of adaptation measures is still at early stages. ","http://data.globalchange.gov/report/nca3/chapter/northeast/finding/early-stage-adaptation-incorporation"
"Southeast and the Caribbean","17.1",17,1,"Sea level rise poses widespread and continuing threats to both natural and built environments and to the regional economy.","http://data.globalchange.gov/report/nca3/chapter/southeast/finding/sea-level-rise-threatens-environment"
"Southeast and the Caribbean","17.2",17,2,"Increasing temperatures and the associated increase in frequency, intensity, and duration of extreme heat events will affect public health, natural and built environments, energy, agriculture, and forestry.","http://data.globalchange.gov/report/nca3/chapter/southeast/finding/effects-of-increased-extreme-heat"
"Southeast and the Caribbean","17.3",17,3,"Decreased water availability, exacerbated by population growth and land-use change, will continue to increase competition for water and affect the region's economy and unique ecosystems.","http://data.globalchange.gov/report/nca3/chapter/southeast/finding/decreased-water-availability-impacts"
"Midwest","18.1",18,1,"In the next few decades, longer growing seasons and rising carbon dioxide levels will increase yields of some crops, though those benefits will be progressively offset by extreme weather events. Though adaptation options can reduce some of the detrimental effects, in the long term, the combined stresses associated with climate change are expected to decrease agricultural productivity. ","http://data.globalchange.gov/report/nca3/chapter/midwest/finding/decreased-agricultural-productivity"
"Midwest","18.2",18,2,"The composition of the region’s forests is expected to change as rising temperatures drive habitats for many tree species northward. The role of the region’s forests as a net absorber of carbon is at risk from disruptions to forest ecosystems, in part due to climate change.","http://data.globalchange.gov/report/nca3/chapter/midwest/finding/changing-composition-role-of-forests"
"Midwest","18.3",18,3,"Increased heat wave intensity and frequency, increased humidity, degraded air quality, and reduced water quality will increase public health risks.","http://data.globalchange.gov/report/nca3/chapter/midwest/finding/climate-change-increase-health-risks"
"Midwest","18.4",18,4,"The Midwest has a highly energy-intensive economy with per capita emissions of greenhouse gases more than 20% higher than the national average. The region also has a large and increasingly utilized potential to reduce emissions that cause climate change. ","http://data.globalchange.gov/report/nca3/chapter/midwest/finding/potential-less-high-energy-economy"
"Midwest","18.5",18,5,"Extreme rainfall events and flooding have increased during the last century, and these trends are expected to continue, causing erosion, declining water quality, and negative impacts on transportation, agriculture, human health, and infrastructure.","http://data.globalchange.gov/report/nca3/chapter/midwest/finding/extreme-rainfall-and-flooding-impacts"
"Midwest","18.6",18,6,"Climate change will exacerbate a range of risks to the Great Lakes, including changes in the range and distribution of certain fish species, increased invasive species and harmful blooms of algae, and declining beach health. Ice cover declines will lengthen the commercial navigation season.","http://data.globalchange.gov/report/nca3/chapter/midwest/finding/exacerbation-of-risks-to-great-lakes"
"Great Plains","19.1",19,1,"Rising temperatures are leading to increased demand for water and energy. In parts of the region, this will constrain development, stress natural resources, and increase competition for water among communities, agriculture, energy production, and ecological needs.","http://data.globalchange.gov/report/nca3/chapter/great-plains/finding/water-energy-demands-add-stress"
"Great Plains","19.2",19,2,"Changes to crop growth cycles due to warming winters and alterations in the timing and magnitude of rainfall events have already been observed; as these trends continue, they will require new agriculture and livestock management practices.","http://data.globalchange.gov/report/nca3/chapter/great-plains/finding/growth-cycles-change-agriculture"
"Great Plains","19.3",19,3,"Landscape fragmentation is increasing, for example, in the context of energy development activities in the northern Great Plains. A highly fragmented landscape will hinder adaptation of species when climate change alters habitat composition and timing of plant development cycles.","http://data.globalchange.gov/report/nca3/chapter/great-plains/finding/increased-landscape-fragmentation"
"Great Plains","19.4",19,4,"Communities that are already the most vulnerable to weather and climate extremes will be stressed even further by more frequent extreme events occurring within an already highly variable climate system.","http://data.globalchange.gov/report/nca3/chapter/great-plains/finding/vulnerable-communities-more-stress"
"Great Plains","19.5",19,5,"The magnitude of expected changes will exceed those experienced in the last century. Existing adaptation and planning efforts are inadequate to respond to these projected impacts. ","http://data.globalchange.gov/report/nca3/chapter/great-plains/finding/existing-adaptation-plans-inadequate"
"Southwest","20.1",20,1,"Snowpack and streamflow amounts are projected to decline in parts of the Southwest, decreasing surface water supply reliability for cities, agriculture, and ecosystems. ","http://data.globalchange.gov/report/nca3/chapter/southwest/finding/decreasing-water-supply"
"Southwest","20.2",20,2,"The Southwest produces more than half of the nation’s high-value specialty crops, which are irrigation-dependent and particularly vulnerable to extremes of moisture, cold, and heat. Reduced yields from increasing temperatures and increasing competition for scarce water supplies will displace jobs in some rural communities.","http://data.globalchange.gov/report/nca3/chapter/southwest/finding/climate-change-reduces-crop-yields"
"Southwest","20.3",20,3,"Increased warming, drought, and insect outbreaks, all caused by or linked to climate change, have increased wildfires and impacts to people and ecosystems in the Southwest. Fire models project more wildfire and increased risks to communities across extensive areas.","http://data.globalchange.gov/report/nca3/chapter/southwest/finding/climate-change-increases-wildfires"
"Southwest","20.4",20,4,"Flooding and erosion in coastal areas are already occurring even at existing sea levels and damaging some California coastal areas during storms and extreme high tides. Sea level rise is projected to increase as Earth continues to warm, resulting in major damage as wind-driven waves ride upon higher seas and reach farther inland. ","http://data.globalchange.gov/report/nca3/chapter/southwest/finding/coastal-flooding-erosion-increasing"
"Southwest","20.5",20,5,"Projected regional temperature increases, combined with the way cities amplify heat, will pose increased threats and costs to public health in southwestern cities, which are home to more than 90% of the region’s population. Disruptions to urban electricity and water supplies will exacerbate these health problems.","http://data.globalchange.gov/report/nca3/chapter/southwest/finding/temperature-increase-threaten-cities"
"Northwest","21.1",21,1,"Changes in the timing of streamflow related to changing snowmelt are already observed and will continue, reducing the supply of water for many competing demands and causing far-reaching ecological and socioeconomic consequences.","http://data.globalchange.gov/report/nca3/chapter/northwest/finding/streamflow-changes-reduce-water"
"Northwest","21.2",21,2,"In the coastal zone, the effects of sea level rise, erosion, inundation, threats to infrastructure and habitat, and increasing ocean acidity collectively pose a major threat to the region.","http://data.globalchange.gov/report/nca3/chapter/northwest/finding/coastal-zone-effects-threaten-region"
"Northwest","21.3",21,3,"The combined impact of increasing wildfire, insect outbreaks, and tree diseases are already causing widespread tree die-off and are virtually certain to cause additional forest mortality by the 2040s and long-term transformation of forest landscapes. Under higher emissions scenarios, extensive conversion of subalpine forests to other forest types is projected by the 2080s.","http://data.globalchange.gov/report/nca3/chapter/northwest/finding/forest-mortality-and-transformation"
